ID,Topic
572,Belarus
573,"Refugee and Migration Assistance Fund, U.S. Emergency"
574,"Executive Order 13761, amendment"
575,Department of Commerce
576,Department of the Treasury
577,Malaysia
578,Eid al-Fitr
579,Same-sex marriage
580,Refugees and global migrants
581,Brookings Institution
582,Saban Forum
583,"Economic Advisers, Council of"
584,Major Cities Chiefs Association
585,"Cybersecurity, Commission on Enhancing National"
586,"Israel Political Affairs Committee, American"
587,"Russia-U.S. Summit in Vancouver, Canada"
588,White House Easter Egg Roll
589,"Education and Sharing Day, U.S.A"
590,White House Transition Coordinating Council
591,Defense relationship with U.S
592,Global Health Initiative
593,Foreign Intelligence Surveillance Court
594,"Corporation for Community Service, National"
595,"Corporation for National and Community Service, National"
596,"Domestic Energy Development and Permitting in Alaska, Interagency Working Group on Coordination of"
597,White House Summit on Community Colleges
598,Sri Lanka
599,Death
600,Equal Employment Opportunity Commission
601,Diwali
602,Government organizations and employees
603,Intel Corp
604,"Privacy Council, Federal"
605,"Central African Republic, Political unrest and violence"
606,Catholic church
607,Faith-based and community organizations
608,Institute of Medicine
609,"Women’s Day, International"
610,Caribbean nations
611,"Historically Black Colleges and Universities, White House Initiative on"
612,"Sean and David Goldman International Child Abduction Prevention and Return Act of 2014, delegation of authority"
613,"Spain, Taxation Convention, Spain-U.S"
614,Eritrea
615,Joint Statement
616,"Confederate statues and monuments, status of public display"
617,"Nurses Association, American"
618,"Childhood Cancer Awareness Month, National"
619,"Census Bureau, U.S"
620,Algeria
621,"Gulf Coast Ecosystem Restoration, Task Force on"
622,American Academy of Family Physicians
623,American College of Cardiology
624,American College of Pediatricians
625,American College of Physicians
626,American Medical Association
627,Doctors for America
628,National Medical Association
629,Norway
630,World Organisation for Animal Health
631,"Pearl Harbor attack, 75th anniversary"
632,Economy national
633,Easter Prayer Breakfast
634,Macedonia
635,North Atlantic Council
636,"Fitness, Sports and Nutrition, President's Council on"
637,Global Magnitsky Human Rights Accountability Act
638,"Arts and Humanities, President's Committee on"
639,"Historically Black Colleges and Universities Week, National"
640,Djibouti
641,"Labor-Management Relations Program, Federal"
642,"Defense, department of"
643,"Patent and Trademark Office, U.S"
644,Burundi
645,New Mexico
646,"Crocker, Ryan C"
647,Economy
648,Federal Deposit Insurance Corporation (FDIC)
649,"Geithner, Timothy F"
650,Vermont
651,"Cities, National League of"
652,"Rhode Island, Governor"
653,"Vermont, Governor"
654,"Gridiron Club and Foundation Washington, DC"
655,Greek Independence Day
656,World Trade Week
657,White House Mentorship and Leadership Program
658,"Egypt, U.S. military detachment"
659,United Arab Emirates
660,NAACP
661,Presidential Innovation Fellows Program
662,Chad
663,Trading With the Enemy Act
664,"Cabinet, meetings with President"
665,"Prayer and Remembrance, National Days of"
666,Patriot Day and National Day of Service and Remembrance
667,"Czech Republic, supplementary Social Security agreement with U.S"
668,Fortune's Most Powerful Women Summit
669,"Brennan, John O"
670,"Tax Code, reform"
671,"Mentoring Month, National"
672,Tukey
673,"Arts and Humanities, Federal Council on"
674,"Communications Commission, Federal"
675,"Postal Service, U.S"
